process_order_number,order_type,material_number,product_name,product_family,process_order_creation_date,batch_number,process_order_release_date,packaging_line_start_date,packaging_line_finish_date,packaging_final_check_date,brr_start_date,brr_end_date,qa_release_date,IN_order_type,IN_created_from,IN_created_to
3049849,ZSP1,10159245,HERCEPTI 150MG 1VILY IV IT-CLIN,HERCEPTIN,1/4/2016,H4636H01,1/14/2016,1/22/2016,1/22/2016,1/25/16 12:43,2/2/16 14:40,2/3/16 10:27,2/4/2016,ZSP1,1/1/2016,12/31/2016
3049860,ZSP1,10159235,HERCEPTI 150MG 1VILY IV ELL,HERCEPTIN,1/4/2016,H4611H09,1/4/2016,1/15/2016,1/15/2016,1/15/16 15:33,1/29/16 8:11,1/29/16 12:11,2/1/2016,ZSP1,1/1/2016,12/31/2016
3049861,ZSP1,10159236,HERCEPTI 150MG 1VILY IV ES,HERCEPTIN,1/4/2016,H4634H03,1/15/2016,1/21/2016,1/21/2016,1/22/16 7:02,1/26/16 13:18,2/1/16 15:55,2/1/2016,ZSP1,1/1/2016,12/31/2016
3050156,ZSP1,10159513,AVASTIN 400MG/16ML 1VIAL AT,AVASTIN,1/5/2016,B8009H03,1/14/2016,1/22/2016,1/22/2016,1/25/16 12:56,2/1/16 13:58,2/4/16 13:19,2/4/2016,ZSP1,1/1/2016,12/31/2016
3050157,ZSP1,10159513,AVASTIN 400MG/16ML 1VIAL AT,AVASTIN,1/5/2016,B8013H01,2/10/2016,2/15/2016,2/15/2016,2/16/16 14:44,3/1/16 9:51,3/2/16 10:03,3/2/2016,ZSP1,1/1/2016,12/31/2016
3050158,ZSP1,10169199,PERJETA 420MG/14ML 1VIAL GR-CY,PERJETA,1/5/2016,H0141H09,1/27/2016,2/2/2016,2/3/2016,2/3/16 17:11,2/12/16 7:54,2/15/16 15:42,2/16/2016,ZSP1,1/1/2016,12/31/2016
3050159,ZSP1,10159520,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN,1/5/2016,B8009H08,1/20/2016,1/27/2016,1/27/2016,1/28/16 13:26,2/2/16 7:59,2/9/16 10:23,2/9/2016,ZSP1,1/1/2016,12/31/2016
3050180,ZSP1,10159520,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN,1/5/2016,B8009H10,1/25/2016,1/27/2016,1/27/2016,1/28/16 13:32,2/2/16 8:11,2/9/16 10:38,2/10/2016,ZSP1,1/1/2016,12/31/2016
3050181,ZSP1,10159514,AVASTIN 400MG/16ML 1VIAL BE,AVASTIN,1/5/2016,B8009H11,1/25/2016,1/27/2016,1/27/2016,1/28/16 13:20,2/2/16 8:25,2/9/16 10:31,2/9/2016,ZSP1,1/1/2016,12/31/2016
3050182,ZSP1,10159515,AVASTIN 400MG/16ML 1VIAL BG,AVASTIN,1/5/2016,B8009H14,1/28/2016,1/29/2016,1/29/2016,2/1/16 9:33,2/1/16 14:17,2/9/16 11:30,2/10/2016,ZSP1,1/1/2016,12/31/2016
3050183,ZSP1,10159535,AVASTIN 400MG/16ML 1VIAL RO,AVASTIN,1/5/2016,B8012H05,1/25/2016,1/29/2016,1/29/2016,1/29/16 12:25,2/4/16 13:36,2/5/16 11:47,2/9/2016,ZSP1,1/1/2016,12/31/2016
3050184,ZSP1,10159035,AVASTIN 100MG/4ML 1VIAL ES,AVASTIN,1/5/2016,B8006H30,1/28/2016,2/1/2016,2/1/2016,2/2/16 16:32,2/17/16 14:31,2/18/16 11:22,2/18/2016,ZSP1,1/1/2016,12/31/2016
3050185,ZSP1,10159030,AVASTIN 100MG/4ML 1VIAL CZ,AVASTIN,1/5/2016,B8006H32,1/29/2016,2/1/2016,2/2/2016,2/2/16 14:56,2/18/16 7:42,2/25/16 14:07,2/25/2016,ZSP1,1/1/2016,12/31/2016
3050206,ZSP1,10108937,NEORECOR 10000IU/0.6ML 1ASRG FR-CLIN,NEORECORMON,1/5/2016,H6208H13,1/5/2016,1/7/2016,1/7/2016,1/8/16 11:16,1/12/16 7:55,1/15/16 12:42,1/18/2016,ZSP1,1/1/2016,12/31/2016
3050716,ZSP1,10142033,MIRCERA 100MCG/0.3ML 1ASRG EC,MIRCERA,1/7/2016,H0578H08,2/22/2016,2/29/2016,,2/29/16 11:27,,,3/11/2016,ZSP1,1/1/2016,12/31/2016
3050779,ZSP1,10161795,MIRCERA 75MCG/0.3ML 1ASRG US-WDY,MIRCERA,1/7/2016,H0576H03,1/14/2016,1/14/2016,1/15/2016,1/15/16 15:17,,,1/20/2016,ZSP1,1/1/2016,12/31/2016
3051020,ZSP1,10095576,MIRCERA 360MCG/0.6ML 1ASRG ELL,MIRCERA,1/8/2016,H0020H13,1/29/2016,2/1/2016,2/1/2016,2/2/16 14:59,,,2/24/2016,ZSP1,1/1/2016,12/31/2016
3051048,ZSP1,10108983,NEORECOR 30000IU/.6ML 4 ASRG DEATBENL,NEORECORMON,1/8/2016,H0630H22,1/13/2016,1/22/2016,1/22/2016,1/25/16 12:53,,,2/3/2016,ZSP1,1/1/2016,12/31/2016
3051071,ZSP1,10142040,MIRCERA 150MCG/0.3ML 1ASRG UY-BO-PY,MIRCERA,1/8/2016,H0552H27,1/13/2016,1/15/2016,1/15/2016,1/15/16 15:16,,,1/28/2016,ZSP1,1/1/2016,12/31/2016
3051715,ZSP1,10159034,AVASTIN 100MG/4ML 1VIAL ELL,AVASTIN,1/11/2016,B8006H29,1/27/2016,2/1/2016,2/1/2016,2/2/16 16:28,2/17/16 13:44,2/18/16 11:56,2/18/2016,ZSP1,1/1/2016,12/31/2016
3051862,ZSP1,10111641,BONDRONA 2MG/2ML 1VIAL FE,BONDRONAT,1/11/2016,H0512H06,2/9/2016,2/11/2016,2/11/2016,2/11/16 15:01,2/12/16 9:03,2/17/16 12:01,2/17/2016,ZSP1,1/1/2016,12/31/2016
3051952,ZSP1,10159046,AVASTIN 100MG/4ML 1VIAL IT-CLIN,AVASTIN,1/12/2016,B8008H01,2/4/2016,2/10/2016,2/11/2016,2/11/16 15:12,2/24/16 7:01,2/24/16 12:05,2/24/2016,ZSP1,1/1/2016,12/31/2016
3051975,ZSP1,10071604,BONVIVA 3MG/3ML 1ASRG FE,BONVIVA,1/12/2016,H6265H05,1/22/2016,1/28/2016,1/28/2016,1/29/16 12:38,2/29/16 9:13,3/1/16 11:02,3/3/2016,ZSP1,1/1/2016,12/31/2016
3052023,ZSP1,10108938,NEORECOR 10000IU/.6ML 1 ASRG IT-PU,NEORECORMON,1/13/2016,H6208H14,1/13/2016,1/27/2016,1/27/2016,1/28/16 13:27,1/29/16 10:43,1/29/16 14:44,2/1/2016,ZSP1,1/1/2016,12/31/2016
3052033,ZSP1,10122503,NEORECOR 5000IU/0.3ML 1ASRG IN,NEORECORMON,1/13/2016,H0647H10,1/13/2016,1/29/2016,1/29/2016,1/29/16 12:29,2/3/16 13:55,2/3/16 15:54,2/3/2016,ZSP1,1/1/2016,12/31/2016
3052058,ZSP1,10095599,MIRCERA 75MCG/.3ML 1 ASRG ES-PT,MIRCERA,1/14/2016,H0579H03,2/4/2016,2/8/2016,,2/9/16 11:41,,,2/23/2016,ZSP1,1/1/2016,12/31/2016
3052154,ZSP1,10161795,MIRCERA 75MCG/0.3ML 1ASRG US-WDY,MIRCERA,1/15/2016,H0576H04,1/15/2016,1/18/2016,1/20/2016,1/21/16 10:39,,,3/22/2016,ZSP1,1/1/2016,12/31/2016
3052216,ZSP1,10095671,MIRCERA 250MCG/.3ML 1 ASRG IT-PU,MIRCERA,1/18/2016,H0549H02,2/4/2016,2/8/2016,2/8/2016,2/8/16 12:14,,,2/24/2016,ZSP1,1/1/2016,12/31/2016
3052240,ZSP1,10095674,MIRCERA 30MCG/.3ML 1 ASRG CZSKHUSI,MIRCERA,1/18/2016,H0551H07,1/18/2016,1/29/2016,1/29/2016,2/1/16 9:26,,,2/10/2016,ZSP1,1/1/2016,12/31/2016
3052261,ZSP1,10159040,AVASTIN 100MG/4ML 1VIAL GB-IE,AVASTIN,1/19/2016,B8006H25,1/19/2016,1/25/2016,1/25/2016,1/26/16 17:12,2/2/16 11:07,2/3/16 13:11,2/3/2016,ZSP1,1/1/2016,12/31/2016
3052286,ZSP1,10071609,BONVIVA 3MG/3ML 1ASRG HU-SI,BONVIVA,1/20/2016,H6277H08,1/27/2016,1/29/2016,1/29/2016,1/29/16 12:26,2/5/16 10:31,2/5/16 14:13,2/9/2016,ZSP1,1/1/2016,12/31/2016
3052294,ZSP1,10095666,MIRCERA 250MCG/.3ML 1 ASRG BE-NL,MIRCERA,1/20/2016,H0549H01,2/4/2016,2/8/2016,2/8/2016,2/8/16 12:15,,,3/14/2016,ZSP1,1/1/2016,12/31/2016
3052333,ZSP1,10159520,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN,1/22/2016,B7217H03,1/26/2016,1/28/2016,1/28/2016,1/29/16 12:36,2/12/16 13:50,2/16/16 11:19,2/16/2016,ZSP1,1/1/2016,12/31/2016
3052337,ZSP1,10121705,REC 3000IU/0.3ML 4ASRG CLIN-TR,NEORECORMON,1/22/2016,H0572/01,2/26/2016,3/1/2016,3/1/2016,3/1/16 11:03,,,3/29/2016,ZSP1,1/1/2016,12/31/2016
3052344,ZSP1,10110655,RECORMON 2000IU/0.3ML 6ASRG VN,NEORECORMON,1/22/2016,H0839H08,2/5/2016,2/8/2016,2/8/2016,2/9/16 11:53,2/16/16 9:41,2/17/16 12:59,2/17/2016,ZSP1,1/1/2016,12/31/2016
3052447,ZSP1,10169189,PERJETA 420MG/14ML 1VIAL AT,PERJETA,1/26/2016,H0141H08,1/26/2016,2/3/2016,2/3/2016,2/3/16 16:56,2/11/16 14:36,2/15/16 15:29,2/16/2016,ZSP1,1/1/2016,12/31/2016
3052459,ZSP1,10153440,BONVIVA 3MG/3ML 1ASRG LT,BONVIVA,1/27/2016,H6271H03,2/22/2016,3/7/2016,3/7/2016,3/7/16 12:30,3/16/16 12:11,3/18/16 12:55,3/22/2016,ZSP1,1/1/2016,12/31/2016
3052464,ZSP1,10161798,MIRCERA 200MCG/0.3ML 1ASRG US-WDY,MIRCERA,1/27/2016,H0550H02,3/1/2016,3/4/2016,3/4/2016,3/7/16 12:30,,,3/22/2016,ZSP1,1/1/2016,12/31/2016
3052475,ZSP1,10129627,BONVIVA 3MG/3ML 1ASRG KR,BONVIVA,1/27/2016,H6275H08,2/15/2016,2/19/2016,2/25/2016,2/26/16 10:52,3/8/16 12:03,3/16/16 9:50,3/21/2016,ZSP1,1/1/2016,12/31/2016
3052476,ZSP1,10071577,BONVIVA 3MG/3ML 1ASRG CZ-SK,BONVIVA,1/27/2016,H6271H05,2/25/2016,3/8/2016,3/8/2016,3/8/16 14:38,3/21/16 9:00,3/21/16 11:21,3/22/2016,ZSP1,1/1/2016,12/31/2016
3052477,ZSP1,10074424,BONVIVA 3MG/3ML 1ASRG IT-CLIN,BONVIVA,1/27/2016,H6271H04,2/22/2016,3/7/2016,3/8/2016,3/8/16 14:48,3/21/16 7:23,3/21/16 11:14,3/22/2016,ZSP1,1/1/2016,12/31/2016
3052478,ZSP1,10071604,BONVIVA 3MG/3ML 1ASRG FE,BONVIVA,1/27/2016,H6271H06,2/25/2016,3/8/2016,,3/9/16 13:36,3/21/16 14:25,3/22/16 9:02,3/23/2016,ZSP1,1/1/2016,12/31/2016
3052481,ZSP1,10086767,BONVIVA 3MG/3ML 1ASRG CIS,BONVIVA,1/27/2016,H6265H14,2/18/2016,2/26/2016,2/26/2016,2/29/16 11:32,3/3/16 13:49,3/4/16 10:43,3/7/2016,ZSP1,1/1/2016,12/31/2016
3052484,ZSP1,10140399,BONVIVA 3MG/3ML 1ASRG PE,BONVIVA,1/27/2016,H6265H08,2/4/2016,2/18/2016,2/18/2016,2/18/16 11:01,3/1/16 12:25,3/3/16 14:05,3/3/2016,ZSP1,1/1/2016,12/31/2016
3052485,ZSP1,10145649,BONVIVA 3MG/3ML 1ASRG PRISA,BONVIVA,1/27/2016,H6271H02,2/22/2016,3/3/2016,,3/7/16 12:01,3/9/16 11:39,3/11/16 10:09,3/14/2016,ZSP1,1/1/2016,12/31/2016
3052486,ZSP1,10126179,BONDRONA 6MG/6ML 1VIAL UA,BONDRONAT,1/27/2016,H1094H01,2/19/2016,3/2/2016,3/2/2016,3/3/16 10:26,3/8/16 11:29,3/8/16 13:32,3/9/2016,ZSP1,1/1/2016,12/31/2016
3052487,ZSP1,10061938,BONDRONA 6MG/6ML 1VIAL GB-IE,BONDRONAT,1/27/2016,H1083H06,2/18/2016,3/2/2016,3/2/2016,3/3/16 10:19,3/8/16 10:44,3/8/16 13:49,3/9/2016,ZSP1,1/1/2016,12/31/2016
3052488,ZSP1,10159047,AVASTIN 100MG/4ML 1VIAL NL,AVASTIN,1/27/2016,B8008H06,2/19/2016,2/25/2016,2/25/2016,2/25/16 14:23,3/9/16 8:34,3/18/16 15:32,3/21/2016,ZSP1,1/1/2016,12/31/2016
3052489,ZSP1,10159034,AVASTIN 100MG/4ML 1VIAL ELL,AVASTIN,1/27/2016,B8006H35,2/19/2016,2/24/2016,2/24/2016,2/25/16 13:42,3/9/16 9:04,3/21/16 11:59,3/22/2016,ZSP1,1/1/2016,12/31/2016
3052490,ZSP1,10159049,AVASTIN 100MG/4ML 1VIAL PT,AVASTIN,1/27/2016,B8008H08,2/19/2016,2/25/2016,2/26/2016,2/29/16 11:53,3/9/16 7:45,3/18/16 15:15,3/21/2016,ZSP1,1/1/2016,12/31/2016
3052491,ZSP1,10159050,AVASTIN 100MG/4ML 1VIAL RO,AVASTIN,1/27/2016,B8008H04,2/19/2016,2/24/2016,2/24/2016,2/25/16 13:39,3/8/16 14:47,3/21/16 12:09,3/22/2016,ZSP1,1/1/2016,12/31/2016
3052492,ZSP1,10159212,HERCEPTI 150MG 1VILY IV DE,HERCEPTIN,1/27/2016,N1049H01,3/24/2016,3/29/2016,3/29/2016,3/30/16 16:47,4/8/16 11:00,4/11/16 11:27,4/12/2016,ZSP1,1/1/2016,12/31/2016
3052493,ZSP1,10159194,HERCEPTI 150MG 1VILY IV IT-CLIN,HERCEPTIN,1/27/2016,N1026H02,2/24/2016,2/29/2016,3/1/2016,3/2/16 12:47,3/7/16 13:32,3/14/16 14:40,3/14/2016,ZSP1,1/1/2016,12/31/2016
3052496,ZSP1,10159239,HERCEPTI 150MG 1VILY IV GB-IE,HERCEPTIN,1/27/2016,H4642H02,3/7/2016,3/11/2016,3/14/2016,3/14/16 12:07,3/23/16 14:14,3/24/16 8:55,3/29/2016,ZSP1,1/1/2016,12/31/2016
3052497,ZSP1,10159243,HERCEPTI 150MG 1VILY IV HU,HERCEPTIN,1/27/2016,H4636H06,2/12/2016,2/19/2016,2/19/2016,2/19/16 11:32,3/1/16 14:40,3/2/16 10:16,3/2/2016,ZSP1,1/1/2016,12/31/2016
3052498,ZSP1,10159250,HERCEPTI 150MG 1VILY IV PL,HERCEPTIN,1/27/2016,H4638H02,2/12/2016,2/18/2016,2/19/2016,2/19/16 10:54,3/2/16 13:48,3/9/16 15:28,3/9/2016,ZSP1,1/1/2016,12/31/2016
3052499,ZSP1,10159248,HERCEPTI 150MG 1VILY IV NL,HERCEPTIN,1/27/2016,H4638H06,3/4/2016,3/11/2016,3/11/2016,3/14/16 12:11,3/23/16 12:19,3/24/16 15:24,3/29/2016,ZSP1,1/1/2016,12/31/2016
3052501,ZSP1,10145647,BONVIVA 3MG/3ML 1ASRG CO,BONVIVA,1/27/2016,H6271H07,2/25/2016,3/8/2016,3/8/2016,3/8/16 14:47,3/21/16 8:41,3/21/16 11:27,3/22/2016,ZSP1,1/1/2016,12/31/2016
3052502,ZSP1,10159048,AVASTIN 100MG/4ML 1VIAL PL,AVASTIN,1/27/2016,B8008H09,2/24/2016,2/24/2016,2/25/2016,2/25/16 13:37,3/7/16 11:52,3/18/16 14:56,3/21/2016,ZSP1,1/1/2016,12/31/2016
3052503,ZSP1,10159236,HERCEPTI 150MG 1VILY IV ES,HERCEPTIN,1/27/2016,H4645H01,2/16/2016,2/22/2016,2/22/2016,2/23/16 14:01,3/4/16 7:44,3/4/16 16:06,3/7/2016,ZSP1,1/1/2016,12/31/2016
3052504,ZSP1,10159226,HERCEPTI 150MG 1VILY IV AT,HERCEPTIN,1/27/2016,H4637H02,2/16/2016,2/19/2016,2/22/2016,2/22/16 10:42,3/4/16 9:41,3/4/16 13:48,3/7/2016,ZSP1,1/1/2016,12/31/2016
3052505,ZSP1,10159517,AVASTIN 400MG/16ML 1VIAL DE,AVASTIN,1/27/2016,B8013H08,3/9/2016,3/16/2016,3/17/2016,3/18/16 14:14,3/30/16 11:25,3/31/16 11:34,3/31/2016,ZSP1,1/1/2016,12/31/2016
3052506,ZSP1,10168689,ROACTEM 200MG/10ML 1VIAL IV AT,ACTEMRA,1/27/2016,B2053H16,2/29/2016,3/3/2016,3/4/2016,3/7/16 12:35,3/8/16 12:26,3/10/16 9:28,3/10/2016,ZSP1,1/1/2016,12/31/2016
3052507,ZSP1,10159522,AVASTIN 400MG/16ML 1VIAL GB-IE,AVASTIN,1/27/2016,B8013H03,2/15/2016,2/16/2016,2/16/2016,2/17/16 15:59,2/23/16 10:27,3/4/16 12:52,3/7/2016,ZSP1,1/1/2016,12/31/2016
3052508,ZSP1,10159237,HERCEPTI 150MG 1VILY IV FR-CLIN,HERCEPTIN,1/27/2016,H4642H01,2/16/2016,2/22/2016,2/23/2016,2/24/16 12:27,2/29/16 8:03,2/29/16 13:44,3/1/2016,ZSP1,1/1/2016,12/31/2016
3052509,ZSP1,10159534,AVASTIN 400MG/16ML 1VIAL PT,AVASTIN,1/27/2016,B8013H05,3/8/2016,3/16/2016,3/16/2016,3/16/16 16:32,3/29/16 11:32,3/31/16 8:21,3/31/2016,ZSP1,1/1/2016,12/31/2016
